Cue,Label,Notes,Up Time,Down Time
1/1,,"Ganzen“ sehen. Unter Druck manchmal scharf, aber nicht unfair.",,
1/2,LEO,"Schauspieler (20 bis 40). Talentiert, etwas impulsiv. Braucht klare Ansagen, will aber ernst genommen werden.",,
1/3,NINA,"Schauspielerin (20 bis 40). Strukturiert, empathisch, vermittelt zwischen den Fronten. Hat die stärkste Nervenstärke im Team.",,
1/4,PASCAL,"Veranstaltungstechniker Licht (25 bis 45). Ruhig, fachlich stark, denkt in Abläufen und Lösungen. Sagt Dinge direkt, aber professionell. (Name kann geändert werden.)",,
1/5,CUE,"KI-Assistent (Stimme aus Laptop/Tablet/Intercom). Neutral, sehr schnell, manchmal unbeabsichtigt komisch. Spricht klar und knapp, fast wie ein Systemlog.",,
1/6,FRAU STEIN,"Intendantin/Produktionsleitung (40 bis 60). Wirtschaftlich denkend, freundlich im Ton, hart in der Deadline. Kommt „kurz rein“ und erhöht den Druck. Ort / Ausstattung • Probenbühne oder kleine Bühne; Tisch mit Laptop/Tablet; Headset/Intercom (kann gespielt werden); Requisitenstuhl; Script-Ordner.",,
1/7,Optional,sichtbarer Lichtpult-Platz (oder seitlich angedeutet). Stücktext,,
1/8,Szene 1 – „Die Nerven liegen blank“,Licht: Arbeitslicht / Probenlicht. Leises Summen von Technik. PASCAL sitzt am Laptop,,
1/9,Szene 1 – „Die Nerven liegen blank“,und tippt. NINA wärmt sich. LEO läuft unruhig. MARA steht mit Script und Stift.,,
1/10,Szene 1 – „Die Nerven liegen blank“ MARA,"Wir machen jetzt den Durchlauf. Ohne Unterbrechung. So, wie es morgen sein muss.",,
1/11,Szene 1 – „Die Nerven liegen blank“ LEO,"Ohne Unterbrechung ist super, wenn man nicht im Dunkeln spielt.",,
1/12,Szene 1 – „Die Nerven liegen blank“ PASCAL,Licht ist nicht „Dunkel“. Das ist „kein Cue getriggert“.,,
1/13,Szene 1 – „Die Nerven liegen blank“ LEO,"Das ist exakt das, was ich meinte.",,
1/14,Szene 1 – „Die Nerven liegen blank“ NINA,Okay. Wir fangen an. Schritt für Schritt.,,
1/15,Szene 1 – „Die Nerven liegen blank“ MARA,"Nein, Nina. Wir fangen nicht „Schritt für Schritt“ an. Wir fangen an wie im Leben: Es passiert, und ihr müsst drin bleiben. Seite 1",,
1/16,Szene 1 – „Die Nerven liegen blank“ PASCAL,Dann brauche ich den finalen Cue-Plan. Der Ordner hier ist Version drei. Gestern hieß es Version fünf.,,
1/17,Szene 1 – „Die Nerven liegen blank“ MARA,Versionen sind Kunst. Die leben.,,
1/18,Szene 1 – „Die Nerven liegen blank“ PASCAL,"Technik lebt nicht von Kunst, sondern von Eindeutigkeit. Kurzer Moment Stille. NINA atmet einmal hörbar aus.",,
1/19,Szene 1 – „Die Nerven liegen blank“ NINA,"Mara. Gib Pascal bitte das, was „morgen gilt“. Sonst kämpfen wir gegeneinander statt fürs Stück.",,
1/20,Szene 1 – „Die Nerven liegen blank“ MARA,Gut. Version fünf. (zeigt auf Ordner) Hier. Und ja: Es gibt Änderungen.,,
1/21,Szene 1 – „Die Nerven liegen blank“ PASCAL,Änderungen sind okay. Unangekündigte Änderungen sind das Problem.,,
1/22,Szene 1 – „Die Nerven liegen blank“ LEO,Willkommen im Theater.,,
1/23,Szene 1 – „Die Nerven liegen blank“ PASCAL,klappt den Laptop auf. Ein kurzes „Beep“.,,
1/24,Szene 1 – „Die Nerven liegen blank“ CUE,Projekt geladen. „Die letzte Probe“. Status: unvollständig. Fehlende Verknüpfungen: 12.,,
1/25,Szene 1 – „Die Nerven liegen blank“ LEO,Aha. Sogar der Computer ist enttäuscht.,,
1/26,Szene 1 – „Die Nerven liegen blank“ CUE,Korrektur: Ich bin nicht enttäuscht. Ich melde Abweichungen.,,
1/27,Szene 1 – „Die Nerven liegen blank“ NINA,Sehr gut. Dann melden wir jetzt weniger Abweichungen.,,
